epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,512.082,1.09202,2.69169,1.46479,0.41302,0.48502,0.43149,0.27878,1.16391,2.93136,1.66749,0.000366219,0.000366219,0.000366219
2,969.923,1.18367,2.188,1.51172,0.4091,0.4452,0.40922,0.19219,1.54747,3.82342,2.1006,0.000721968,0.000721968,0.000721968
3,1640.11,1.21746,2.08514,1.5429,0.45869,0.405,0.3909,0.22549,1.39643,2.79702,2.00359,0.00106305,0.00106305,0.00106305
4,2094.75,1.25329,2.03466,1.57568,0.52762,0.45953,0.45468,0.27614,1.40444,2.40392,1.93349,0.00104501,0.00104501,0.00104501
