epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1029.88,1.01572,1.07073,1.42074,0.71978,0.69575,0.70181,0.47607,1.30683,1.2445,1.7866,0.000643101,0.000643101,0.000643101
43,1050.77,1.03087,1.09875,1.43235,0.7142,0.63556,0.70297,0.48659,1.26949,1.18755,1.72541,0.000628101,0.000628101,0.000628101
44,1071.74,1.00551,1.05238,1.41622,0.74893,0.64161,0.69427,0.48984,1.20265,1.2397,1.68628,0.000612981,0.000612981,0.000612981
45,1092.65,0.9923,1.02257,1.40473,0.81827,0.64544,0.7091,0.50747,1.19584,1.15693,1.65635,0.000597754,0.000597754,0.000597754
46,1113.56,1.00775,1.03178,1.40879,0.72468,0.66721,0.72999,0.50962,1.19799,1.16136,1.64244,0.000582435,0.000582435,0.000582435
47,1134.63,0.98195,1.00682,1.39426,0.78788,0.59224,0.69538,0.4996,1.19946,1.21692,1.65713,0.00056704,0.00056704,0.00056704
48,1155.6,0.98171,0.99191,1.3897,0.72419,0.6755,0.71927,0.51424,1.15959,1.20912,1.65484,0.000551584,0.000551584,0.000551584
49,1176.83,0.98538,1.01365,1.39711,0.76993,0.63054,0.69838,0.48142,1.22046,1.21504,1.68335,0.000536081,0.000536081,0.000536081
50,1197.8,0.96476,0.97134,1.37346,0.73078,0.68679,0.72191,0.50405,1.19835,1.15784,1.65549,0.000520548,0.000520548,0.000520548
51,1218.84,0.97151,0.96295,1.37796,0.74253,0.65856,0.72216,0.50708,1.20527,1.1366,1.65969,0.000505,0.000505,0.000505
52,1240.15,0.96905,0.97517,1.38015,0.76679,0.6214,0.68999,0.49196,1.18522,1.17206,1.65339,0.000489452,0.000489452,0.000489452
53,1261.11,0.93952,0.92018,1.34518,0.78238,0.65535,0.71817,0.51163,1.18762,1.14145,1.65809,0.000473919,0.000473919,0.000473919
54,1281.95,0.93322,0.92479,1.3581,0.71087,0.6966,0.70418,0.50389,1.16431,1.16696,1.6306,0.000458416,0.000458416,0.000458416
55,1302.82,0.9367,0.90489,1.34064,0.79641,0.62215,0.70805,0.49657,1.19674,1.22488,1.6694,0.00044296,0.00044296,0.00044296
56,1323.9,0.92662,0.90631,1.34455,0.75094,0.69074,0.73224,0.52417,1.14983,1.1002,1.62124,0.000427565,0.000427565,0.000427565
57,1344.85,0.93418,0.90464,1.35342,0.79777,0.62497,0.71238,0.50174,1.21283,1.14745,1.69932,0.000412246,0.000412246,0.000412246
58,1365.88,0.93365,0.90497,1.35156,0.82917,0.61316,0.71705,0.51041,1.15244,1.14498,1.64178,0.000397019,0.000397019,0.000397019
59,1386.91,0.92826,0.88879,1.3483,0.72925,0.67206,0.71491,0.48303,1.22844,1.17396,1.72471,0.000381899,0.000381899,0.000381899
60,1408,0.89877,0.84818,1.32203,0.82447,0.6594,0.74649,0.5345,1.12904,1.14238,1.60504,0.000366899,0.000366899,0.000366899
61,1429.14,0.89962,0.85348,1.31767,0.74929,0.68992,0.71512,0.50806,1.14802,1.20872,1.6187,0.000352037,0.000352037,0.000352037
62,1450.26,0.88271,0.84338,1.30523,0.78491,0.67724,0.72381,0.5105,1.19837,1.15446,1.68619,0.000337325,0.000337325,0.000337325
63,1471.53,0.89872,0.87459,1.33073,0.84989,0.64168,0.72974,0.52393,1.17444,1.11963,1.66705,0.000322778,0.000322778,0.000322778
64,1492.45,0.90382,0.87071,1.32719,0.81726,0.66912,0.73204,0.52113,1.15708,1.14165,1.64403,0.000308412,0.000308412,0.000308412
65,1513.37,0.88473,0.85031,1.31739,0.80316,0.68744,0.74015,0.52334,1.18409,1.16534,1.67461,0.000294239,0.000294239,0.000294239
66,1534.29,0.89082,0.81232,1.31816,0.84491,0.67688,0.74383,0.51841,1.21062,1.15947,1.68194,0.000280275,0.000280275,0.000280275
67,1555.46,0.86069,0.78633,1.29286,0.85518,0.66833,0.74659,0.5284,1.18012,1.16613,1.66433,0.000266532,0.000266532,0.000266532
68,1576.37,0.87108,0.81151,1.29222,0.75479,0.65616,0.72003,0.51954,1.15543,1.1602,1.63548,0.000253024,0.000253024,0.000253024
69,1597.3,0.85781,0.78307,1.29108,0.84255,0.61241,0.7195,0.52303,1.14557,1.14532,1.6386,0.000239766,0.000239766,0.000239766
70,1619.61,0.85475,0.80043,1.29856,0.76988,0.68492,0.72753,0.52826,1.14275,1.13698,1.62403,0.000226769,0.000226769,0.000226769
71,4716.93,0.86955,0.78751,1.29132,0.80099,0.67542,0.72531,0.51408,1.19071,1.23472,1.67455,0.000214046,0.000214046,0.000214046
72,4739.73,0.84522,0.77962,1.28773,0.7975,0.6817,0.72804,0.52095,1.16135,1.19101,1.62953,0.000201611,0.000201611,0.000201611
73,4761.98,0.84102,0.77833,1.28256,0.75974,0.68981,0.72037,0.52494,1.14053,1.15541,1.63374,0.000189475,0.000189475,0.000189475
74,4783.84,0.84826,0.80093,1.28778,0.77272,0.69433,0.74468,0.53838,1.09919,1.12272,1.60861,0.000177651,0.000177651,0.000177651
75,4805.39,0.82823,0.76776,1.26796,0.81551,0.68021,0.74848,0.53647,1.10817,1.16274,1.616,0.000166149,0.000166149,0.000166149
76,4826.55,0.82891,0.75304,1.26744,0.75594,0.70552,0.73926,0.53632,1.10693,1.12504,1.61182,0.000154982,0.000154982,0.000154982
77,4852.64,0.83858,0.76416,1.28203,0.79908,0.71961,0.75752,0.54148,1.09545,1.13082,1.59457,0.000144161,0.000144161,0.000144161
78,4898.58,0.80439,0.7286,1.25469,0.75262,0.72571,0.74811,0.54189,1.10871,1.11106,1.60948,0.000133695,0.000133695,0.000133695
79,4946.76,0.81585,0.73127,1.25604,0.76581,0.72894,0.74934,0.54622,1.09072,1.08098,1.60298,0.000123596,0.000123596,0.000123596
